stride_count_with_rollator_slope_up,speed_with_rollator_slope_up,stride_count_with_rollator_slope_down,speed_with_rollator_slope_down,stride_count_with_rollator_gravel,speed_with_rollator_gravel,stride_count_with_rollator_sidewalk,speed_with_rollator_sidewalk,walking_speed_with_rollator_slope_down,walking_speed_with_rollator_slope_up,walking_speed_with_rollator_gravel,walking_speed_with_rollator_sidewalk,avg_z_accel_with_rollator_slope_up,avg_z_accel_with_rollator_slope_down,avg_z_accel_with_rollator_gravel,avg_z_accel_with_rollator_sidewalk,stride_count_without_rollator_slope_up,speed_without_rollator_slope_up,stride_count_without_rollator_slope_down,speed_without_rollator_slope_down,stride_count_without_rollator_gravel,speed_without_rollator_gravel,stride_count_without_rollator_sidewalk,speed_without_rollator_sidewalk,walking_speed_without_rollator_slope_up,walking_speed_without_rollator_slope_down,walking_speed_without_rollator_gravel,walking_speed_without_rollator_sidewalk,avg_z_accel_without_rollator_slope_up,avg_z_accel_without_rollator_slope_down,avg_z_accel_without_rollator_gravel,avg_z_accel_without_rollator_sidewalk
61.0,137.0,50.0,118.0,49.0,116.0,46.0,114.0,0.847457627,0.890510949,0.844827586,0.807017544,0.203785,0.202874,0.206363,0.244541,47.0,106.0,52.0,108.0,47.0,118.0,45.0,106.0,0.886792453,0.962962963,0.796610169,0.849056604,0.2058,0.2058,0.171123,0.220588
59.0,122.0,47.0,127.0,52.0,118.0,48.0,110.0,0.74015748,0.967213115,0.881355932,0.872727273,0.19656,0.203284,0.21978,0.252936,43.0,106.0,50.0,106.0,57.0,93.0,43.0,108.0,0.811320755,0.943396226,1.225806452,0.796296296,0.202206,0.213333,0.209524,0.202392
63.0,122.0,42.0,122.0,51.0,118.0,48.0,116.0,0.68852459,1.032786885,0.86440678,0.827586207,0.21294,0.22932,0.202874,0.240757,41.0,108.0,54.0,108.0,56.0,105.0,46.0,108.0,0.759259259,1.0,1.066666667,0.851851852,0.202392,0.2058,0.194175,0.220588
60.0,118.0,39.0,110.0,49.0,120.0,46.0,116.0,0.709090909,1.016949153,0.816666667,0.793103448,0.21978,0.235081,0.232751,0.24055,42.0,108.0,50.0,106.0,50.0,102.0,48.0,108.0,0.777777778,0.943396226,0.980392157,0.888888889,0.2058,0.190658,0.202206,0.220588
52.0,116.0,32.0,108.0,53.0,116.0,48.0,116.0,0.592592593,0.896551724,0.913793103,0.827586207,0.24055,0.238971,0.206363,0.24055,44.0,106.0,56.0,112.0,47.0,108.0,43.0,108.0,0.830188679,1.0,0.87037037,0.796296296,0.2058,0.220588,0.209524,0.202392
59.0,120.0,31.0,116.0,50.0,112.0,48.0,114.0,0.534482759,0.983333333,0.892857143,0.842105263,0.232945,0.223368,0.195382,0.244541,43.0,106.0,51.0,106.0,41.0,105.0,45.0,108.0,0.811320755,0.962264151,0.780952381,0.833333333,0.209724,0.190658,0.187266,0.216802
61.0,122.0,35.0,114.0,60.0,122.0,47.0,114.0,0.614035088,1.0,0.983606557,0.824561404,0.22932,0.244755,0.21294,0.244541,40.0,104.0,54.0,104.0,46.0,106.0,45.0,110.0,0.769230769,1.038461538,0.867924528,0.818181818,0.228571,0.183824,0.2058,0.2058
62.0,122.0,33.0,112.0,52.0,112.0,49.0,116.0,0.589285714,1.016393443,0.928571429,0.844827586,0.229133,0.230906,0.213144,0.24055,43.0,104.0,49.0,108.0,52.0,106.0,43.0,106.0,0.826923077,0.907407407,0.981132075,0.811320755,0.2058,0.202206,0.209724,0.220791
61.0,116.0,33.0,116.0,51.0,114.0,50.0,114.0,0.568965517,1.051724138,0.894736842,0.877192982,0.22356,0.223368,0.227074,0.244541,41.0,106.0,49.0,104.0,56.0,104.0,43.0,108.0,0.773584906,0.942307692,1.076923077,0.796296296,0.205993,0.205993,0.202206,0.202206
59.0,114.0,35.0,114.0,52.0,116.0,50.0,110.0,0.614035088,1.035087719,0.896551724,0.909090909,0.209607,0.227074,0.206186,0.253165,41.0,106.0,50.0,108.0,50.0,108.0,42.0,108.0,0.773584906,0.925925926,0.925925926,0.777777778,0.202206,0.190476,0.202206,0.213144
56.0,118.0,34.0,110.0,50.0,116.0,48.0,110.0,0.618181818,0.949152542,0.862068966,0.872727273,0.236686,0.235081,0.223368,0.252936,38.0,108.0,57.0,108.0,53.0,108.0,43.0,112.0,0.703703704,1.055555556,0.981481481,0.767857143,0.2058,0.202392,0.205993,0.202392
62.0,120.0,34.0,110.0,50.0,120.0,47.0,108.0,0.618181818,1.033333333,0.833333333,0.87037037,0.232945,0.234869,0.216306,0.238971,41.0,106.0,58.0,106.0,53.0,106.0,45.0,108.0,0.773584906,1.094339623,1.0,0.833333333,0.205993,0.213144,0.198735,0.216802
63.0,116.0,32.0,114.0,50.0,120.0,49.0,110.0,0.561403509,1.086206897,0.833333333,0.890909091,0.223368,0.227074,0.199667,0.253165,39.0,106.0,55.0,104.0,51.0,110.0,43.0,110.0,0.735849057,1.057692308,0.927272727,0.781818182,0.243218,0.209607,0.187266,0.2058
61.0,114.0,35.0,110.0,53.0,120.0,48.0,114.0,0.636363636,1.070175439,0.883333333,0.842105263,0.227074,0.235081,0.199667,0.244541,42.0,106.0,47.0,108.0,53.0,106.0,47.0,106.0,0.79245283,0.87037037,1.0,0.886792453,0.216802,0.216802,0.209524,0.216998
57.0,116.0,31.0,110.0,53.0,120.0,48.0,110.0,0.563636364,0.982758621,0.883333333,0.872727273,0.223368,0.234869,0.199667,0.252936,43.0,110.0,57.0,112.0,50.0,105.0,48.0,110.0,0.781818182,1.017857143,0.952380952,0.872727273,0.187091,0.195556,0.2058,0.216802
56.0,122.0,41.0,114.0,50.0,120.0,47.0,110.0,0.719298246,0.918032787,0.833333333,0.854545455,0.22932,0.227074,0.216306,0.234869,41.0,106.0,51.0,114.0,47.0,106.0,46.0,110.0,0.773584906,0.894736842,0.886792453,0.836363636,0.216998,0.220588,0.187266,0.202206
56.0,118.0,50.0,116.0,49.0,120.0,43.0,110.0,0.862068966,0.949152542,0.816666667,0.781818182,0.236686,0.24055,0.216306,0.253165,43.0,110.0,45.0,110.0,46.0,106.0,48.0,108.0,0.781818182,0.818181818,0.867924528,0.888888889,0.187091,0.238971,0.183824,0.216802
56.0,122.0,52.0,116.0,51.0,118.0,46.0,112.0,0.896551724,0.918032787,0.86440678,0.821428571,0.2457,0.240757,0.21978,0.248668,39.0,106.0,49.0,112.0,52.0,108.0,44.0,110.0,0.735849057,0.875,0.962962963,0.8,0.190476,0.216998,0.187266,0.216998
62.0,118.0,44.0,112.0,52.0,118.0,48.0,112.0,0.785714286,1.050847458,0.881355932,0.857142857,0.236686,0.230906,0.202874,0.248668,44.0,105.0,40.0,108.0,51.0,106.0,45.0,110.0,0.838095238,0.740740741,0.962264151,0.818181818,0.209724,0.209524,0.183824,0.213144
54.0,116.0,31.0,108.0,55.0,124.0,45.0,112.0,0.673121254,0.931034483,0.887096774,0.803571429,0.206186,0.229750632,0.209508,0.248889,43.0,104.0,41.0,108.0,47.0,108.0,46.0,112.0,0.826923077,0.759259259,0.87037037,0.821428571,0.228571,0.220791,0.187091,0.216802
60.0,120.0,31.0,108.9,49.0,120.0,47.0,112.0,0.671657449,1.0,0.816666667,0.839285714,0.232945,0.202874,0.199667,0.26643,44.0,104.0,41.0,110.0,49.0,106.0,45.0,110.0,0.846153846,0.745454545,0.924528302,0.818181818,0.213592,0.202206,0.183993,0.205993
69.0,120.0,31.0,109.8,52.0,118.0,46.0,110.0,0.534482759,1.15,0.881355932,0.836363636,0.216306,0.2030737435897436,0.21978,0.234869,44.0,102.0,40.0,105.0,53.0,108.0,41.0,106.0,0.862745098,0.761904762,0.981481481,0.773584906,0.209524,0.2058,0.171429,0.213144
65.0,116.0,31.35,110.0,51.0,118.0,47.0,112.0,0.5486515747894737,1.120689655,0.86440678,0.839285714,0.24055,0.20327348717948718,0.202874,0.248668,41.0,105.0,41.0,108.0,48.0,105.0,42.0,112.0,0.780952381,0.759259259,0.914285714,0.75,0.228571,0.205993,0.220588,0.198735
62.0,118.0,31.8,110.0,50.0,118.0,46.0,112.0,0.5615210276842105,1.050847458,0.847457627,0.821428571,0.236686,0.21255353846153846,0.21978,0.231111,45.0,104.0,43.0,108.0,55.0,108.0,46.0,110.0,0.865384615,0.796296296,1.018518519,0.836363636,0.190658,0.2058,0.205993,0.202206
61.0,118.0,32.0,110.0,51.0,122.0,45.0,112.0,0.5626962145263158,1.033898305,0.836065574,0.803571429,0.253593,0.22233805128205128,0.22932,0.248668,43.0,104.0,43.0,106.0,50.0,106.0,43.0,108.0,0.826923077,0.811320755,0.943396226,0.796296296,0.209524,0.228789,0.193986,0.216998
64.0,122.0,32.0,110.0,51.0,118.0,45.0,114.0,0.5641973274736841,1.049180328,0.86440678,0.789473684,0.22932,0.223368,0.21978,0.244541,43.0,104.0,43.0,106.0,51.0,103.0,47.0,110.0,0.826923077,0.811320755,0.990291262,0.854545455,0.213592,0.224509,0.205993,0.195382
66.0,118.0,32.15,110.0,53.0,116.0,42.0,110.0,0.5670021448421052,1.118644068,0.913793103,0.763636364,0.236686,0.223368,0.223368,0.234869,45.0,102.0,41.0,106.0,47.0,106.0,46.0,112.0,0.882352941,0.773584906,0.886792453,0.821428571,0.213385,0.209724,0.202206,0.220588
67.0,137.0,32.6,110.0,50.0,114.0,51.0,108.0,0.5721739691578948,0.97810219,0.877192982,0.944444444,0.232897,0.22488841025641026,0.209607,0.202206,42.0,103.0,38.0,104.0,46.0,108.0,45.0,108.0,0.815533981,0.730769231,0.851851852,0.833333333,0.209724,0.224509,0.216802,0.202392
68.0,118.0,33.0,110.0,51.0,118.0,52.0,118.0,0.5828688096842105,1.152542373,0.86440678,0.881355932,0.236686,0.22669389743589743,0.21978,0.185968,40.0,104.0,42.0,106.0,45.0,110.0,44.0,108.0,0.769230769,0.79245283,0.818181818,0.814814815,0.224509,0.23919,0.205993,0.220588
70.0,118.0,33.0,110.0,51.0,120.0,50.0,118.0,0.5899818990526315,1.186440678,0.85,0.847457627,0.236686,0.227074,0.216306,0.236686,43.0,106.0,44.0,104.0,47.0,106.0,45.0,108.0,0.811320755,0.846153846,0.886792453,0.833333333,0.209524,0.220588,0.198735,0.213144
71.0,104.0,33.0,110.0,52.0,116.0,41.0,122.0,0.5917223616842106,1.365384615,0.896551724,0.672131148,0.247855,0.227074,0.206186,0.21294,42.0,104.0,43.0,106.0,48.0,110.0,47.0,112.0,0.807692308,0.811320755,0.872727273,0.839285714,0.205993,0.224719,0.17762,0.202206
67.0,116.0,33.4,110.8,50.0,118.0,28.0,133.0,0.5982353548421052,1.155172414,0.847457627,0.421052632,0.223368,0.227074,0.236686,0.209738,41.0,106.0,42.0,108.0,31.0,112.0,41.0,108.0,0.773584906,0.777777778,0.553571429,0.759259259,0.209524,0.220588,0.262172,0.202392
69.0,120.0,33.85,111.7,53.0,120.0,36.0,108.0,0.6095208785263158,1.15,0.883333333,0.666666667,0.232945,0.227074,0.216306,0.238971,42.0,104.0,43.0,108.0,28.0,106.0,42.0,108.0,0.807692308,0.796296296,0.528301887,0.777777778,0.220588,0.216802,0.171123,0.216802
70.0,116.0,34.0,112.0,48.0,116.0,45.0,118.0,0.614035088,1.206896552,0.827586207,0.762711864,0.223368,0.22782266666666667,0.223368,0.202874,41.0,108.0,42.0,106.0,33.30769230769231,93.0,42.0,110.0,0.759259259,0.79245283,0.911313246,0.763636364,0.209724,0.202392,0.17234618518518519,0.202206
68.0,120.0,34.0,112.0,51.0,116.0,31.0,101.0,0.614035088,1.133333333,0.879310345,0.613861386,0.232945,0.2289168717948718,0.223368,0.177866,41.0,104.0,43.0,108.0,45.69230769230769,102.23076923076923,42.0,108.0,0.788461538,0.796296296,0.913711392,0.777777778,0.2058,0.224509,0.1794582222222222,0.198915
67.0,131.0,34.2,112.4,51.0,116.0,12.0,141.0,0.6155628306315789,1.022900763,0.879310345,0.170212766,0.22779,0.22945250215384616,0.223368,0.113314,40.0,106.0,43.0,110.0,47.0,103.46153846153847,44.0,110.0,0.754716981,0.781818182,0.528301887,0.8,0.2058,0.183824,0.183824,0.202206
70.0,116.0,34.65,113.3,52.0,116.0,29.565217391304348,108.0,0.6177453201052632,1.206896552,0.896551724,0.787405419,0.24055,0.22966229723076922,0.223368,0.20223504347826088,40.0,106.0,40.0,108.0,47.0,104.6923076923077,43.0,108.0,0.754716981,0.740740741,0.6483134923333334,0.796296296,0.213592,0.19055183333333334,0.18392414814814814,0.220588
74.0,127.0,35.0,114.0,49.0,116.0,36.21739130434783,108.08695652173913,0.618181818,1.165354331,0.844827586,0.793337556,0.234742,0.23007650502564103,0.223368,0.113314,43.0,103.0,38.0,104.0,28.0,105.0,40.0,108.0,0.834951456,0.86849384,0.7940005376666667,0.740740741,0.224509,0.190658,0.18628781481481482,0.205993
52.0,114.0,35.0,114.0,52.0,114.0,43.17391304347826,110.0,0.618181818,1.051056338,0.912280702,0.7629760068571428,0.236686,0.2306393766153846,0.20979,0.20675365217391303,41.0,106.0,40.0,104.0,47.0,105.0,46.0,106.0,0.773584906,0.868514992,0.8265993265,0.867924528,0.2058,0.19721850000000002,0.18724655555555555,0.2058
55.523809523809526,132.4285714285714,35.0,114.0,52.0,116.0,45.0,110.0,0.6267942581052631,1.053246597,0.896551724,0.6695290141904762,0.24621309523809523,0.230906,0.223368,0.21452008695652172,40.0,106.0,40.27272727272727,104.0,46.15384615384615,105.38461538461539,43.0,106.0,0.754716981,0.730769231,0.8625669693333333,0.811320755,0.205993,0.202206,0.187266,0.220791
56.0,124.38095238095238,35.0,114.0,53.0,116.0,45.0,110.0,0.636363636,1.164282550263158,0.913793103,0.7820842409047619,0.239446,0.230906,0.206186,0.234869,40.0,106.0,41.0,104.9090909090909,42.84615384615385,106.0,42.0,108.0,0.754716981,0.740740741,0.8681283481666666,0.777777778,0.2058,0.202392,0.187266,0.220588
56.285714285714285,137.0,35.0,114.0,52.0,116.0,12.0,101.0,0.6549393270526316,1.2058199270526315,0.896551724,0.5679545398095238,0.24055,0.23182053846153847,0.206186,0.1820931304347826,40.0,106.0,41.0,106.0,46.0,106.0,42.0,108.0,0.754716981,0.7564983162,0.87037037,0.777777778,0.2058,0.204096,0.18950599999999998,0.202206
59.0,122.0,36.4,114.0,54.0,116.0,41.565217391304344,110.0,0.6717344913684211,0.890510949,0.931034483,0.170212766,0.253593,0.23375123076923077,0.223368,0.23339847826086957,38.0,106.0,42.0,106.0,47.0,106.0,43.0,108.0,0.716981132,0.7611111111000001,0.8725308644166666,0.796296296,0.205993,0.2058,0.194077,0.198915
59.0,104.0,38.199999999999996,114.0,53.0,118.0,52.0,141.0,0.6725049150526315,1.365384615,0.898305085,0.944444444,0.19656,0.234869,0.236686,0.26643,41.0,106.0,42.0,106.0,47.30769230769231,106.0,40.0,106.0,0.792720366,0.7761006292,0.886792453,0.812580231,0.220588,0.2058,0.19704611111111112,0.195382
60.0,116.0,39.5,114.5,50.0,116.0,45.65217391304348,110.0,0.6747426577894737,0.9520042114210526,0.862068966,0.7890797287619047,0.20561433333333334,0.234869,0.223368,0.236054,38.0,102.0,43.0,106.0,48.0,106.0,41.625,106.0,0.703703704,0.787135506,0.886792453,0.812659652,0.209867341,0.20594475,0.198735,0.198915
61.0,116.0,40.400000000000006,115.4,50.0,116.0,46.0,112.0,0.6828496767368422,0.9329416471052632,0.862068966,0.793237224,0.21135285714285712,0.23490705128205128,0.189003,0.2400694347826087,39.0,103.0,43.0,106.0,48.769230769230774,106.0,42.0,106.5,0.735849057,0.7939902164,0.911712937,0.740740741,0.187091,0.2065815,0.20194888888888887,0.202206
61.0,118.0,41.15,116.0,54.0,116.0,46.21739130434783,112.0,0.6917719035263158,0.918032787,0.931034483,0.803571429,0.22731266666666666,0.23501033333333335,0.206186,0.24055,40.0,104.0,43.0,106.0,50.0,106.0,42.0,108.0,0.754716981,0.796296296,0.9140464131666667,0.7642393324285714,0.19230771428571428,0.20957241666666665,0.202206,0.202206
61.0,116.0,41.6,116.0,49.0,114.0,47.0,112.0,0.7025962819473685,0.9790824912631578,0.859649123,0.821428571,0.2234777142857143,0.235081,0.209607,0.240703,40.0,104.0,43.0,108.0,50.0,106.0,43.0,108.0,0.7574423478,0.811320755,0.924528302,0.777777778,0.2033657142857143,0.209724,0.202206,0.202299
62.0,116.0,42.099999999999994,116.0,52.0,116.0,46.0,110.34782608695652,0.7112398220526316,1.0191418514210526,0.896551724,0.8264339010952381,0.223368,0.235081,0.223368,0.238971,41.0,104.0,44.0,108.0,50.0,106.0,43.0,108.0,0.769230769,0.8120068613,0.9264870930833333,0.777777778,0.2058,0.21322275,0.2035371111111111,0.202392
62.0,116.0,43.0,116.0,53.0,116.0,47.0,113.56521739130434,0.7166121046842105,1.005176876736842,0.913793103,0.8309299894761905,0.223368,0.235081,0.206186,0.244541,41.0,104.33333333333333,46.272727272727266,108.0,50.69230769230769,107.38461538461539,43.0,108.0,0.773584906,0.846153846,0.9407089761666667,0.796296296,0.2058,0.21622383333333334,0.2058,0.20494800000000002
63.0,118.0,43.900000000000006,116.0,49.0,116.0,47.0,112.0,0.7247875181052632,0.987719298,0.844827586,0.8083900227619047,0.21729857142857142,0.235081,0.206186,0.244541,41.0,106.0,49.0,108.0,51.0,108.0,43.0,108.0,0.773584906,0.8685128768,0.9548517517499999,0.796296296,0.2058,0.216851,0.20592866666666668,0.205872375
63.904761904761905,118.0,45.2,116.0,54.0,120.0,48.0,114.0,0.7357660623157896,1.0509683885263157,0.9,0.8418367345238095,0.22932,0.23547997435897436,0.216306,0.244541,41.0,106.0,49.0,108.0,51.15384615384615,108.0,44.0,108.0,0.7810101010666667,0.874074074,0.9627300256666667,0.8,0.205993,0.21939133333333333,0.205993,0.213144
65.66666666666666,118.0,46.55,116.0,49.0,116.0,48.0,114.0,0.7545438397894736,1.033016968368421,0.844827586,0.839285714,0.22915080952380953,0.23737510256410257,0.223368,0.244541,42.0,106.0,50.0,108.0,52.0,108.0,45.0,108.0,0.7880186476,0.9036062375,0.9804538168333333,0.812580231,0.209524,0.220588,0.205993,0.213144
67.0,118.0,47.9,116.6,47.0,114.0,48.0,115.7391304347826,0.7785211061052631,1.0344617116315789,0.824561404,0.843920145,0.23153433333333331,0.23909246153846153,0.227074,0.248668,42.0,106.0,50.18181818181819,108.0,52.61538461538461,108.0,45.0,108.5,0.8046979196,0.9357549855999999,0.981306778,0.818181818,0.20955257142857142,0.220588,0.20638533333333334,0.216802
67.19047619047619,120.85714285714286,49.25,117.5,48.0,112.0,48.0,116.0,0.8084618326842106,1.0500577648421052,0.857142857,0.8504952675714286,0.236686,0.23986171794871797,0.231111,0.24875447826086958,43.0,106.0,51.0,108.0,53.0,108.0,45.0,110.0,0.811320755,0.943396226,0.981481481,0.821428571,0.209724,0.22077408333333332,0.209524,0.216802
68.0,120.0,50.0,118.8,51.0,116.0,48.913043478260875,116.0,0.8409583279473685,1.0526856910526317,0.879310345,0.8726150395238095,0.236038,0.2405606153846154,0.223368,0.25258408695652174,43.0,106.0,52.909090909090914,108.9090909090909,53.0,108.15384615384616,46.0,110.0,0.8216081655333333,0.9625436758,0.993527508,0.833333333,0.2134737142857143,0.224509,0.209524,0.216998
69.0,120.0,50.0,120.60000000000001,48.0,118.0,48.0,114.0,0.8536097697368421,1.146491228,0.813559322,0.872727273,0.232945,0.24066146153846155,0.21978,0.248668,43.0,106.0,54.09090909090909,110.0,53.61538461538461,110.0,46.0,110.0,0.826923077,1.0,1.0,0.836363636,0.2154262857142857,0.224509,0.2096351111111111,0.220588
70.0,120.0,50.199999999999996,122.49999999999999,50.0,120.0,50.0,118.0,0.8612999481578948,1.120151342631579,0.833333333,0.8791753391428571,0.232945,0.24085951282051282,0.216306,0.25315504347826084,44.0,106.53333333333333,55.72727272727273,111.45454545454545,55.53846153846154,110.0,46.75,110.0,0.8357897978666666,1.021978022,1.0265432103333332,0.8510532097142858,0.220588,0.2253973333333333,0.2147048148148148,0.220588
70.23809523809524,122.0,51.1,124.75,47.0,112.0,49.434782608695656,118.0,0.878402904,1.0811443313157896,0.872903795,0.8596623832857143,0.232945,0.2428072564102564,0.189003,0.252936,44.13333333333333,108.0,57.0,112.0,56.0,111.53846153846155,47.375,112.0,0.8630970336,1.0557692312,1.0726495728333334,0.8720411665714286,0.2279907142857143,0.2347285,0.22002711111111112,0.220588
74.0,122.0,52.0,127.0,60.0,124.0,50.47826086956522,127.2608695652174,0.896551724,1.1521409456842104,0.873058747,0.8952380952857142,0.236686,0.244755,0.236686,0.253165,47.0,110.0,58.0,114.0,57.0,118.0,48.0,112.0,0.886792453,1.094339623,1.225806452,0.888888889,0.243218,0.23919,0.262172,0.220791
